ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"タイトル\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" CustomFormatter=\"\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" IMEMode=\"\" />","<Field Type=\"Number\" DisplayName=\"階層\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" IMEMode=\"inactive\" ID=\"{7bf6dc51-00b2-42e3-9851-124ea97be436}\" StaticName=\"Hierarchy\" Name=\"Hierarchy\" CustomFormatter=\"\" Percentage=\"FALSE\" Hidden=\"FALSE\" PITarget=\"\" PrimaryPITarget=\"\" PIAttribute=\"\" PrimaryPIAttribute=\"\" Aggregation=\"\" Node=\"\" />","<Field Type=\"Text\" DisplayName=\"承認の状態\" Title=\"承認の状態\" StaticName=\"_Flow_SignoffStatus\" ID=\"{d64b8235-2d4b-4354-bf39-ef58bf4193f0}\" Name=\"_x0024_Resources_x003a_core_x002\" />","<Field Type=\"Choice\" DisplayName=\"協力業者担当作業\" Required=\"FALSE\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" Format=\"Dropdown\" FillInChoice=\"FALSE\" ID=\"{6c35eba0-ce80-4a51-993c-323cf81dde73}\" StaticName=\"PartnerWork\" Name=\"PartnerWork\" CustomFormatter=\"\" IMEMode=\"\"><CHOICES><CHOICE>土木一式工事</CHOICE><CHOICE>建築一式工事</CHOICE><CHOICE>大工工事</CHOICE><CHOICE>左官工事</CHOICE><CHOICE>とび・土工・コンクリート工事</CHOICE><CHOICE>石工事</CHOICE><CHOICE>屋根工事</CHOICE><CHOICE>電気工事</CHOICE><CHOICE>管工事</CHOICE><CHOICE>タイル・れんが・ブロック工事</CHOICE><CHOICE>鋼構造物工事</CHOICE><CHOICE>鉄筋工事</CHOICE><CHOICE>舗装工事</CHOICE><CHOICE>しゅんせつ工事</CHOICE><CHOICE>板金工事</CHOICE><CHOICE>ガラス工事</CHOICE><CHOICE>塗装工事</CHOICE><CHOICE>防水工事</CHOICE><CHOICE>内装仕上工事</CHOICE><CHOICE>機械器具設置工事</CHOICE><CHOICE>熱絶縁工事</CHOICE><CHOICE>電気通信工事</CHOICE><CHOICE>造園工事</CHOICE><CHOICE>さく井工事</CHOICE><CHOICE>建具工事</CHOICE><CHOICE>水道施設工事</CHOICE><CHOICE>消防施設工事</CHOICE><CHOICE>清掃施設工事</CHOICE><CHOICE>解体工事</CHOICE></CHOICES></Field>","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"タイトル\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(編集メニュー付きのアイテムにリンク)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"メニューを開く\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"現場","協力業者","上位協力業者","階層","協力業者担当作業","更新者","更新日時","登録者","登録日時","タイトル","承認の状態","ID"
"技研 新築工事 - A","株式会社サンライズ工務 Pri C -Sub2","東京総合建設株式会社 Pri C",,,"hermits@cloud-power.jp","2025-10-17T08:53:17Z","hermits@cloud-power.jp","2025-10-17T08:50:52Z","株式会社サンライズ工務 Pri C -Sub2",,"24"
"技研 新築工事 - A","株式会社ヒノデ配管 Pri C -Sub1(1)","株式会社未来都市建設 Pri C -Sub1",,,"hermits@cloud-power.jp","2025-10-17T08:57:59Z","hermits@cloud-power.jp","2025-10-17T08:54:04Z","株式会社ヒノデ配管 Pri C -Sub1(1)",,"25"
"技研 新築工事 - A","株式会社スマイル電気施工 Pri C -Sub2(2)","株式会社サンライズ工務 Pri C -Sub2",,,"hermits@cloud-power.jp","2025-10-17T08:58:00Z","hermits@cloud-power.jp","2025-10-17T08:54:31Z","株式会社スマイル電気施工 Pri C -Sub2(2)",,"26"
"技研 新築工事 - A","大和建設工業株式会社 Pri D",,,,"hermits@cloud-power.jp","2025-10-17T08:58:00Z","hermits@cloud-power.jp","2025-10-17T08:56:54Z","東京総合建設株式会社 Pri D",,"27"
"技研 新築工事 - A","株式会社オリオン電気 Pri D -Sub1","東京総合建設株式会社 Pri D",,,"hermits@cloud-power.jp","2025-10-17T08:58:34Z","hermits@cloud-power.jp","2025-10-17T08:57:28Z","株式会社オリオン電気 Pri D -Sub1",,"28"
"技研 新築工事 - A","株式会社トーキョー空調 Pri D -Sub2","東京総合建設株式会社 Pri D",,,"hermits@cloud-power.jp","2025-10-17T08:58:30Z","hermits@cloud-power.jp","2025-10-17T08:58:26Z","株式会社トーキョー空調 Pri D -Sub2",,"29"
"技研 新築工事 - A","株式会社ネクスト配線 Pri D -Sub1(1)","株式会社オリオン電気 Pri D -Sub1",,,"hermits@cloud-power.jp","2025-10-17T09:04:01Z","hermits@cloud-power.jp","2025-10-17T08:59:13Z","株式会社ネクスト配線 Pri D -Sub1(1)",,"30"
"技研 新築工事 - A","株式会社サンシャイン空調 Pri D -Sub2(2)","株式会社トーキョー空調 Pri D -Sub2",,,"hermits@cloud-power.jp","2025-10-17T09:04:01Z","hermits@cloud-power.jp","2025-10-17T09:00:14Z","株式会社サンシャイン空調 Pri D -Sub2(2)",,"31"
"技研 新築工事 - A","株式会社ネクスト建設 Pri E",,,,"hermits@cloud-power.jp","2025-10-17T09:04:01Z","hermits@cloud-power.jp","2025-10-17T09:00:51Z","大和建設工業株式会社 Pri E",,"32"
"技研 新築工事 - A","株式会社グローバル建設 Pri E - Sub1",,,,"hermits@cloud-power.jp","2025-10-17T09:04:01Z","hermits@cloud-power.jp","2025-10-17T09:01:10Z","株式会社グローバル建設 Pri E - Sub1",,"33"
"技研 新築工事 - A","株式会社ヒノデ建設 Pri E - Sub2",,,,"hermits@cloud-power.jp","2025-10-17T09:04:01Z","hermits@cloud-power.jp","2025-10-17T09:01:54Z","株式会社ヒノデ建設 Pri E - Sub2",,"34"
"技研 新築工事 - A","株式会社フジ防水 Pri E - Sub1(1)","株式会社グローバル建設 Pri E - Sub1",,,"hermits@cloud-power.jp","2025-10-17T09:10:06Z","hermits@cloud-power.jp","2025-10-17T09:02:34Z","株式会社フジ防水 Pri E - Sub1(1)",,"35"
"技研 新築工事 - A","株式会社ライトニングケーブル施工 Pri E - Sub2(2)","株式会社ヒノデ建設 Pri E - Sub2",,,"hermits@cloud-power.jp","2025-10-17T09:10:17Z","hermits@cloud-power.jp","2025-10-17T09:04:00Z","株式会社ライトニングケーブル施工 Pri E - Sub2(2)",,"36"
"技研 新築工事 - A","株式会社スマイル建設 Pri F",,,,"hermits@cloud-power.jp","2025-10-17T09:14:32Z","hermits@cloud-power.jp","2025-10-17T09:11:10Z","株式会社スマイル建設 Pri F",,"37"
"技研 新築工事 - A","株式会社ミドリ電気 Pri F - Sub1","株式会社スマイル建設 Pri F",,,"hermits@cloud-power.jp","2025-10-17T09:27:09Z","hermits@cloud-power.jp","2025-10-17T09:11:48Z","株式会社ミドリ電気 Pri F - Sub1",,"38"
"技研 新築工事 - A","株式会社アーク建設設備 Pri F - Sub2","株式会社スマイル建設 Pri F",,,"hermits@cloud-power.jp","2025-10-17T09:27:22Z","hermits@cloud-power.jp","2025-10-17T09:12:15Z","株式会社アーク建設設備 Pri F - Sub2",,"39"
"技研 新築工事 - A","株式会社ミドリ設備工事 Pri F - Sub1(1)","株式会社ミドリ電気 Pri F - Sub1",,,"hermits@cloud-power.jp","2025-10-17T09:27:39Z","hermits@cloud-power.jp","2025-10-17T09:12:47Z","株式会社ミドリ設備工事 Pri F - Sub1(1)",,"40"
"技研 新築工事 - A","株式会社オリオン内装施工 Pri F - Sub2(2)","株式会社アーク建設設備 Pri F - Sub2",,,"hermits@cloud-power.jp","2025-10-17T09:27:52Z","hermits@cloud-power.jp","2025-10-17T09:13:05Z","株式会社オリオン内装施工 Pri F - Sub2(2)",,"41"
"技研 新築工事 - A","株式会社ヒノデ建設 Pri G",,,,"hermits@cloud-power.jp","2025-10-17T09:30:04Z","hermits@cloud-power.jp","2025-10-17T09:28:16Z","株式会社ヒノデ建設 Pri G",,"42"
"技研 新築工事 - A","株式会社フジ建設設備 Pri G- Sub1","株式会社ヒノデ建設 Pri G",,,"hermits@cloud-power.jp","2025-10-17T09:30:31Z","hermits@cloud-power.jp","2025-10-17T09:28:56Z","株式会社フジ建設設備 Pri G- Sub1",,"43"
"技研 新築工事 - A","株式会社ネクスト配管 Pri G- Sub2","株式会社ヒノデ建設 Pri G",,,"hermits@cloud-power.jp","2025-10-17T09:30:37Z","hermits@cloud-power.jp","2025-10-17T09:29:04Z","株式会社ネクスト配管 Pri G- Sub2",,"44"
"技研 新築工事 - A","株式会社グローバル配線 Pri G- Sub1(1)","株式会社フジ建設設備 Pri G- Sub1",,,"hermits@cloud-power.jp","2025-10-17T09:30:47Z","hermits@cloud-power.jp","2025-10-17T09:29:21Z","株式会社グローバル配線 Pri G- Sub1(1)",,"45"
"技研 新築工事 - A","株式会社トーキョーワイヤリング Pri G- Sub2(2)","株式会社ネクスト配管 Pri G- Sub2",,,"hermits@cloud-power.jp","2025-10-17T09:30:54Z","hermits@cloud-power.jp","2025-10-17T09:29:32Z","株式会社トーキョーワイヤリング Pri G- Sub2(2)",,"46"
"技研 新築工事 - A","株式会社サンライズ工務 Pri H",,,,"hermits@cloud-power.jp","2025-10-17T09:30:05Z","hermits@cloud-power.jp","2025-10-17T09:29:54Z","株式会社サンライズ工務 Pri H",,"47"
"技研 新築工事 - A","株式会社オリオン電気 Pri H - Sub1","株式会社サンライズ工務 Pri H",,,"hermits@cloud-power.jp","2025-10-17T09:30:19Z","hermits@cloud-power.jp","2025-10-17T09:30:15Z","株式会社オリオン電気 Pri H - Sub1",,"48"
"技研 新築工事 - A","株式会社ミドリ電気  Pri H - Sub2","株式会社サンライズ工務 Pri H",,,"hermits@cloud-power.jp","2025-10-17T09:36:21Z","hermits@cloud-power.jp","2025-10-17T09:31:34Z","株式会社ミドリ電気  Pri H - Sub2",,"49"
"技研 新築工事 - A","株式会社スマイル電気施工 Pri H - Sub1(1)","株式会社オリオン電気 Pri H - Sub1",,,"hermits@cloud-power.jp","2025-10-17T09:36:21Z","hermits@cloud-power.jp","2025-10-17T09:31:49Z","株式会社スマイル電気施工 Pri H - Sub1(1)",,"50"
"技研 新築工事 - A","株式会社ヒノデ配管 Pri H - Sub2(2)","株式会社ミドリ電気  Pri H - Sub2",,,"hermits@cloud-power.jp","2025-10-17T09:38:24Z","hermits@cloud-power.jp","2025-10-17T09:32:10Z","株式会社ヒノデ配管 Pri H - Sub2(2)",,"51"
"技研 新築工事 - A"," 株式会社東日本建設 Pri I",,,,"hermits@cloud-power.jp","2025-10-17T09:36:21Z","hermits@cloud-power.jp","2025-10-17T09:33:52Z"," 株式会社東日本建設 Pri I",,"52"
"技研 新築工事 - A","株式会社未来都市建設 Pri I - Sub1"," 株式会社東日本建設 Pri I",,,"hermits@cloud-power.jp","2025-10-17T09:38:32Z","hermits@cloud-power.jp","2025-10-17T09:34:07Z","株式会社未来都市建設 Pri I - Sub1",,"53"
"技研 新築工事 - A","東京内装工事株式会社 Pri I - Sub2"," 株式会社東日本建設 Pri I",,,"hermits@cloud-power.jp","2025-10-17T09:38:39Z","hermits@cloud-power.jp","2025-10-17T09:34:16Z","東京内装工事株式会社 Pri I - Sub2",,"54"
"技研 新築工事 - A","株式会社フジ防水 Pri I - Sub1(1)","株式会社未来都市建設 Pri I - Sub1",,,"hermits@cloud-power.jp","2025-10-17T09:38:47Z","hermits@cloud-power.jp","2025-10-17T09:34:24Z","株式会社フジ防水 Pri I - Sub1(1)",,"55"
"技研 新築工事 - A","株式会社アーク防水 Pri I - Sub2(2)","東京内装工事株式会社 Pri I - Sub2",,,"hermits@cloud-power.jp","2025-10-17T09:38:53Z","hermits@cloud-power.jp","2025-10-17T09:34:40Z","株式会社アーク防水 Pri I - Sub2(2)",,"56"
"技研 新築工事 - A","株式会社ミライ建設 Pri B",,,,"hermits@cloud-power.jp","2025-10-22T11:48:42Z","hermits@cloud-power.jp","2025-10-22T11:46:10Z","株式会社ミライ建設 Pri B",,"57"
